Ages Used,Actual Height at 18,Predicted Height at 18,MAE
"(10.0, 11.0)",172.5786765,179.1805147,7.718014706
"(10.0, 11.0, 12.0)",172.5786765,179.3158088,7.737867647
"(10.0, 11.0, 12.0, 13.0)",172.5786765,179.5830882,8.023529412
"(10.0, 11.0, 12.0, 13.0, 14.0)",172.5786765,179.1165441,7.352573529
"(10.0, 11.0, 12.0, 13.0, 14.0, 15.0)",172.5786765,177.1841912,5.372426471
"(10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0)",172.5786765,175.5327206,3.501102941
"(10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.9272059,2.761764706
"(10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 17.0)",172.5786765,175.1095588,2.936029412
"(10.0, 11.0, 12.0, 13.0, 14.0, 16.0)",172.5786765,175.6209559,3.613602941
"(10.0, 11.0, 12.0, 13.0, 14.0, 16.0, 17.0)",172.5786765,174.9654412,2.823529412
"(10.0, 11.0, 12.0, 13.0, 14.0, 17.0)",172.5786765,175.2294118,3.047794118
"(10.0, 11.0, 12.0, 13.0, 15.0)",172.5786765,176.7636029,4.997426471
"(10.0, 11.0, 12.0, 13.0, 15.0, 16.0)",172.5786765,175.4709559,3.490073529
"(10.0, 11.0, 12.0, 13.0, 15.0, 16.0, 17.0)",172.5786765,174.9055147,2.76875
"(10.0, 11.0, 12.0, 13.0, 15.0, 17.0)",172.5786765,175.1066176,2.907352941
"(10.0, 11.0, 12.0, 13.0, 16.0)",172.5786765,175.5507353,3.698529412
"(10.0, 11.0, 12.0, 13.0, 16.0, 17.0)",172.5786765,174.9441176,2.873529412
"(10.0, 11.0, 12.0, 13.0, 17.0)",172.5786765,175.2852941,3.1375
"(10.0, 11.0, 12.0, 14.0)",172.5786765,179.4242647,7.710294118
"(10.0, 11.0, 12.0, 14.0, 15.0)",172.5786765,177.4319853,5.590073529
"(10.0, 11.0, 12.0, 14.0, 15.0, 16.0)",172.5786765,175.51875,3.474632353
"(10.0, 11.0, 12.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.8764706,2.702941176
"(10.0, 11.0, 12.0, 14.0, 15.0, 17.0)",172.5786765,175.0477941,2.858088235
"(10.0, 11.0, 12.0, 14.0, 16.0)",172.5786765,175.5404412,3.541911765
"(10.0, 11.0, 12.0, 14.0, 16.0, 17.0)",172.5786765,174.8988971,2.749632353
"(10.0, 11.0, 12.0, 14.0, 17.0)",172.5786765,175.1658088,2.971691176
"(10.0, 11.0, 12.0, 15.0)",172.5786765,177.2768382,5.656985294
"(10.0, 11.0, 12.0, 15.0, 16.0)",172.5786765,175.4257353,3.484558824
"(10.0, 11.0, 12.0, 15.0, 16.0, 17.0)",172.5786765,174.7981618,2.680514706
"(10.0, 11.0, 12.0, 15.0, 17.0)",172.5786765,174.9955882,2.836764706
"(10.0, 11.0, 12.0, 16.0)",172.5786765,175.4110294,3.745588235
