child_id,Ages Used,Num Observations,Predicted Height at 18,Actual Height at 18,MAE
201,"(9.0,)",1,183,179,4
201,"(10.0,)",1,182,179,3
201,"(11.0,)",1,182.05,179,3.05
201,"(12.0,)",1,181.15,179,2.15
201,"(13.0,)",1,180.3,179,1.3
201,"(14.0,)",1,179.35,179,0.35
201,"(15.0,)",1,179.3,179,0.3
201,"(16.0,)",1,178.8,179,0.2
201,"(17.0,)",1,178.6,179,0.4
201,"(9.0, 10.0)",2,182.4,179,3.4
201,"(9.0, 11.0)",2,182.6,179,3.6
201,"(9.0, 12.0)",2,183,179,4
201,"(9.0, 13.0)",2,183.6,179,4.6
201,"(9.0, 14.0)",2,181.6,179,2.6
201,"(9.0, 15.0)",2,180.7,179,1.7
201,"(9.0, 16.0)",2,178.55,179,0.45
201,"(9.0, 17.0)",2,178.5,179,0.5
201,"(10.0, 11.0)",2,181.55,179,2.55
201,"(10.0, 12.0)",2,182.7,179,3.7
201,"(10.0, 13.0)",2,183,179,4
201,"(10.0, 14.0)",2,182.1,179,3.1
201,"(10.0, 15.0)",2,180.35,179,1.35
201,"(10.0, 16.0)",2,178.6,179,0.4
201,"(10.0, 17.0)",2,178.5,179,0.5
201,"(11.0, 12.0)",2,181.85,179,2.85
201,"(11.0, 13.0)",2,182.7,179,3.7
201,"(11.0, 14.0)",2,181.65,179,2.65
201,"(11.0, 15.0)",2,178.95,179,0.05
201,"(11.0, 16.0)",2,178.5,179,0.5
201,"(11.0, 17.0)",2,178.25,179,0.75
201,"(12.0, 13.0)",2,182.25,179,3.25
201,"(12.0, 14.0)",2,180.65,179,1.65
201,"(12.0, 15.0)",2,178.8,179,0.2
201,"(12.0, 16.0)",2,178.65,179,0.35
201,"(12.0, 17.0)",2,178.35,179,0.65
201,"(13.0, 14.0)",2,179,179,5.68E-14
201,"(13.0, 15.0)",2,179,179,5.68E-14
201,"(13.0, 16.0)",2,178.6,179,0.4
201,"(13.0, 17.0)",2,178.4,179,0.6
201,"(14.0, 15.0)",2,179.75,179,0.75
201,"(14.0, 16.0)",2,178.7,179,0.3
201,"(14.0, 17.0)",2,178.5,179,0.5
201,"(15.0, 16.0)",2,178,179,1
201,"(15.0, 17.0)",2,178.2,179,0.8
201,"(16.0, 17.0)",2,178.5,179,0.5
201,"(9.0, 10.0, 11.0)",3,182.9,179,3.9
201,"(9.0, 10.0, 12.0)",3,183,179,4
201,"(9.0, 10.0, 13.0)",3,183.5,179,4.5
201,"(9.0, 10.0, 14.0)",3,182.85,179,3.85
201,"(9.0, 10.0, 15.0)",3,180.25,179,1.25
201,"(9.0, 10.0, 16.0)",3,178.75,179,0.25
201,"(9.0, 10.0, 17.0)",3,178.55,179,0.45
201,"(9.0, 11.0, 12.0)",3,182.9,179,3.9
201,"(9.0, 11.0, 13.0)",3,183,179,4
201,"(9.0, 11.0, 14.0)",3,182.05,179,3.05
201,"(9.0, 11.0, 15.0)",3,180.4,179,1.4
201,"(9.0, 11.0, 16.0)",3,178.65,179,0.35
201,"(9.0, 11.0, 17.0)",3,178.45,179,0.55
201,"(9.0, 12.0, 13.0)",3,183.3,179,4.3
201,"(9.0, 12.0, 14.0)",3,182.65,179,3.65
201,"(9.0, 12.0, 15.0)",3,180.5,179,1.5
201,"(9.0, 12.0, 16.0)",3,178.85,179,0.15
201,"(9.0, 12.0, 17.0)",3,178.5,179,0.5
201,"(9.0, 13.0, 14.0)",3,182.45,179,3.45
201,"(9.0, 13.0, 15.0)",3,180.7,179,1.7
201,"(9.0, 13.0, 16.0)",3,178.8,179,0.2
201,"(9.0, 13.0, 17.0)",3,178.5,179,0.5
201,"(9.0, 14.0, 15.0)",3,180.4,179,1.4
201,"(9.0, 14.0, 16.0)",3,178.65,179,0.35
201,"(9.0, 14.0, 17.0)",3,178.4,179,0.6
201,"(9.0, 15.0, 16.0)",3,178.1,179,0.9
201,"(9.0, 15.0, 17.0)",3,178.15,179,0.85
201,"(9.0, 16.0, 17.0)",3,178.5,179,0.5
201,"(10.0, 11.0, 12.0)",3,182.9,179,3.9
201,"(10.0, 11.0, 13.0)",3,182.65,179,3.65
