,child_id,ATV_8,ATV_9,ATV_10,ATV_11,ATV_12,ATV_13,ATV_14,ATV_15,ATV_16,ATV_17,ATV_18,ATT_8,ATT_9,ATT_10,ATT_11,ATT_12,ATT_13,ATT_14,ATT_15,ATT_16,ATT_17,ATT_18
1,1000002562,1370.0,1429.9999999999995,1475.0,1564.9999999999995,1638.999999999999,1669.9999999999995,1680.999999999999,1686.9999999999998,1695.0,1696.9999999999995,1759.9999999999998,430.0,484.9999999999998,560.0000000000001,639.9999999999999,700.0,778.9999999999998,771.9999999999998,708.0,715.0,709.9999999999998,769.9999999999995
3,1000002564,1299.9999999999995,1359.9999999999998,1410.0,1484.9999999999995,1585.9999999999995,1659.999999999999,1679.9999999999995,1705.0,1699.9999999999995,1699.999999999999,1704.9999999999995,295.0,339.99999999999994,370.0,464.99999999999983,551.9999999999997,647.9999999999999,673.9999999999998,722.0,745.0000000000001,754.9999999999998,787.9999999999995
5,1000002566,1259.9999999999995,1449.999999999999,1364.9999999999998,1402.9999999999995,1449.999999999999,1529.999999999999,1582.9999999999998,1610.9999999999998,1629.9999999999998,1636.999999999999,1639.9999999999995,225.0,265.0,300.0,324.99999999999983,352.9999999999999,379.9999999999999,434.9999999999998,466.0,483.9999999999999,476.9999999999999,482.99999999999994
6,1000002568,1280.0,1329.9999999999995,1410.0,1449.999999999999,1524.9999999999995,1619.999999999999,1624.9999999999998,1655.0000000000002,1650.0000000000002,1659.999999999999,1662.9999999999998,239.0,265.0,290.00000000000006,330.0,374.9999999999998,443.9999999999998,524.9999999999998,524.9999999999998,560.0000000000001,550.0,543.0
7,1000002569,1259.9999999999995,1324.9999999999995,1398.0000000000002,1492.9999999999995,1552.999999999999,1574.9999999999995,1574.9999999999995,1579.9999999999998,1600.9999999999995,1607.9999999999998,1617.999999999999,295.0,330.0,384.0,497.9999999999999,600.0,625.9999999999998,683.9999999999998,734.0,686.0,696.9999999999998,689.9999999999997
8,1000002570,1299.9999999999995,1369.9999999999995,1440.0,1524.9999999999995,1589.9999999999995,1624.9999999999998,1639.9999999999995,1640.0000000000002,1659.9999999999995,1659.999999999999,1659.999999999999,280.00000000000006,350.0,390.0,495.99999999999983,514.9999999999998,531.9999999999998,574.9999999999998,607.0,639.0,641.9999999999999,637.9999999999999
9,1000002571,1235.0,1309.9999999999995,1379.9999999999995,1384.9999999999998,1419.9999999999995,1479.9999999999995,1549.9999999999995,1609.9999999999995,1647.9999999999995,1679.9999999999995,1697.999999999999,200.0,243.99999999999994,255.99999999999994,266.9999999999999,279.99999999999994,309.99999999999994,342.9999999999999,374.9999999999999,450.0,469.9999999999999,497.9999999999999
10,1000002572,1379.9999999999995,1431.9999999999995,1529.9999999999995,1601.9999999999998,1619.999999999999,1654.9999999999995,1654.9999999999995,1650.0000000000002,1666.0,1669.9999999999995,1664.9999999999998,361.0,433.9999999999998,511.9999999999999,553.9999999999997,619.9999999999999,681.9999999999999,745.9999999999995,752.0,723.0,699.9999999999999,727.9999999999999
11,1000002573,1215.0,1259.9999999999993,1315.0,1369.9999999999995,1469.9999999999995,1539.999999999999,1574.9999999999995,1594.9999999999995,1605.0,1611.9999999999998,1649.9999999999995,240.0,249.99999999999994,270.00000000000006,349.99999999999994,429.9999999999999,519.9999999999999,499.9999999999999,500.0,559.0,558.9999999999999,633.9999999999998
12,1000002574,1370.0,1427.5,1485.0,1559.9999999999995,1619.999999999999,1669.9999999999995,1679.9999999999995,1685.0,1667.9999999999998,1688.9999999999995,1663.9999999999995,340.0,365.0,390.0,414.9999999999998,474.99999999999983,564.9999999999998,559.9999999999999,610.0000000000001,685.0,658.9999999999999,665.9999999999998
13,1000002575,1320.0,1366.9999999999995,1433.0,1469.9999999999995,1599.9999999999995,1655.999999999999,1699.999999999999,1720.0,1716.0,1734.9999999999995,1736.9999999999995,280.00000000000006,333.99999999999994,391.9999999999999,465.9999999999999,489.9999999999999,543.0,633.9999999999998,632.9999999999998,626.0,693.9999999999998,621.9999999999999
16,1000002670,1262.3333333333333,1317.333333333333,1408.6666666666663,1491.666666666667,1551.6666666666667,1576.666666666667,1586.666666666666,1596.6666666666667,1600.6666666666665,1601.0000000000002,1594.9999999999995,283.33333333333337,313.33333333333326,456.66666666666606,448.3333333333344,449.9999999999997,496.6666666666666,536.6666666666669,589.9999999999998,608.6666666666669,576.6666666666669,580.333333333333
17,1000002671,1265.0,1323.333333333333,1351.6666666666663,1421.6666666666665,1494.9999999999995,1535.0,1544.9999999999993,1558.3333333333333,1568.3333333333335,1570.0000000000005,1573.9999999999995,275.0,296.33333333333326,320.6666666666666,381.33333333333275,440.33333333333326,496.3333333333329,525.3333333333334,546.0,558.0,554.6666666666667,546.6666666666664
20,1000002677,1307.4999999999998,1350.0,1397.4999999999998,1451.2499999999995,1523.5,1589.5000000000005,1617.0,1620.2499999999998,1633.5000000000007,1640.2500000000005,1635.749999999999,312.5,353.7500000000001,267.49999999999955,336.25,469.0000000000002,526.7500000000002,542.4999999999999,560.7499999999999,579.5000000000002,616.2500000000003,659.9999999999998
21,1000002678,1226.2499999999993,1278.75,1342.5,1386.2499999999995,1424.9999999999995,1480.0000000000005,1543.75,1589.9999999999998,1615.0000000000007,1633.5000000000005,1635.7499999999993,229.9999999999999,253.75,295.2500000000001,324.25,343.4999999999999,374.2500000000002,425.0,469.74999999999966,499.50000000000006,515.0000000000003,528.4999999999999
22,1000002684,1265.8333333333335,1337.499999999999,1387.5000000000002,1449.166666666667,1520.8333333333328,1555.4999999999995,1568.333333333334,1570.0,1580.833333333333,1580.4999999999993,1581.666666666667,242.50000000000006,269.9999999999999,295.8333333333334,341.6666666666667,377.49999999999994,419.6666666666665,442.00000000000006,494.9999999999997,505.83333333333314,514.3333333333331,496.0000000000001
23,1000002685,1370.0000000000005,1425.8333333333328,1522.5000000000005,1623.333333333334,1684.1666666666658,1719.6666666666665,1740.833333333333,1745.666666666667,1750.1666666666663,1750.1666666666654,1754.1666666666677,298.33333333333337,337.4999999999999,382.5000000000002,448.3333333333335,522.4999999999999,509.99999999999994,574.1666666666667,586.3333333333333,595.9999999999998,604.6666666666665,631.0
24,1000002687,1265.0000000000005,1312.4999999999995,1371.666666666667,1424.5000000000005,1510.4999999999995,1588.4999999999998,1638.5000000000007,1653.4999999999998,1664.9999999999993,1673.666666666666,1672.5000000000002,235.0000000000001,285.83333333333326,340.0000000000002,408.16666666666674,509.1666666666664,593.6666666666665,612.0000000000001,624.6666666666665,674.5,737.333333333333,697.166666666667
25,1000002688,1270.0,1325.8333333333326,1384.166666666667,1444.833333333334,1519.1666666666665,1601.9999999999998,1648.5000000000005,1675.833333333333,1688.3333333333326,1691.6666666666656,1694.5000000000005,226.66666666666677,250.83333333333326,285.8333333333335,326.16666666666674,368.0,395.83333333333326,424.1666666666667,458.1666666666664,498.9999999999999,346.0,499.83333333333303
26,1000002693,1291.2499999999995,1340.8333333333333,1383.4999999999998,1490.583333333333,1564.1666666666665,1634.1666666666667,1649.166666666667,1659.1666666666667,1669.1666666666672,1669.9999999999989,1665.4166666666665,248.74999999999994,286.6666666666667,340.41666666666663,390.83333333333326,451.83333333333326,510.16666666666686,551.6666666666666,573.3333333333333,570.4166666666667,619.5000000000002,617.5833333333335
29,1000002697,1245.4166666666663,1295.8333333333333,1342.1666666666665,1444.9999999999998,1500.7499999999998,1547.1666666666674,1558.3333333333333,1586.5,1588.083333333334,1590.749999999999,1594.666666666667,349.7499999999999,387.0833333333335,441.33333333333326,500.08333333333326,561.8333333333333,566.0833333333335,566.0,577.0,611.0000000000003,642.4166666666666,662.4166666666666
30,1000002700,1330.0,1400.0,1480.0,1559.9999999999995,1584.9999999999995,1589.9999999999995,1609.9999999999989,1619.9999999999995,1627.0,1629.9999999999995,1629.9999999999995,374.9999999999999,369.9999999999999,432.99999999999983,452.9999999999998,517.9999999999999,564.9999999999998,549.9999999999999,540.0000000000002,523.9999999999998,540.0,545.9999999999998
31,1000002701,1350.0,1424.9999999999998,1490.0,1584.9999999999995,1659.999999999999,1689.999999999999,1704.9999999999995,1710.0,1712.9999999999993,1719.9999999999998,1715.9999999999995,280.00000000000006,319.99999999999994,370.0,419.99999999999994,474.99999999999983,519.9999999999999,549.9999999999999,540.0000000000002,573.9999999999998,578.9999999999999,579.9999999999999
33,1000002705,1320.0,1359.9999999999998,1430.0,1484.9999999999995,1569.9999999999995,1629.9999999999995,1649.9999999999995,1655.0000000000002,1680.0,1679.9999999999995,1669.9999999999995,252.99999999999994,274.99999999999994,306.9999999999999,354.9999999999999,404.9999999999998,499.99999999999994,530.0,574.9999999999998,560.0000000000001,581.9999999999999,589.9999999999999
35,1000002712,1531.666666666666,1556.4166666666667,1634.7499999999995,1723.4999999999995,1767.6666666666665,1833.7499999999989,1875.4166666666667,1880.583333333332,1887.4166666666672,1887.5833333333335,1842.0000000000005,426.66666666666634,512.4166666666669,655.7499999999998,732.9999999999998,772.7500000000002,847.2499999999997,853.7500000000006,895.5833333333333,906.3333333333331,951.8333333333331,924.6666666666671
36,1000002719,1321.666666666666,1389.1666666666672,1444.3333333333328,1498.8333333333333,1546.8333333333328,1596.5,1626.1666666666663,1640.166666666666,1651.6666666666667,1632.3333333333333,1646.5,402.5,450.5000000000004,514.0,587.1666666666666,691.1666666666666,746.3333333333344,707.3333333333337,779.833333333333,789.1666666666667,816.5000000000001,819.6666666666661
37,1000002720,1208.3333333333326,1260.833333333334,1330.8333333333335,1423.499999999999,1503.3333333333326,1571.666666666667,1609.1666666666665,1633.3333333333326,1650.0000000000005,1649.4999999999995,1650.1666666666663,203.3333333333333,222.50000000000006,242.4999999999999,288.8333333333333,351.6666666666664,452.9999999999998,495.16666666666686,506.99999999999983,516.3333333333335,545.8333333333339,580.166666666666
